occupation,address,city,country,address_full,lat,long
Laundries,7 Beaufort Road,Edinburgh,UK,"7 Beaufort Road , Edinburgh , UK",55.93497,-3.1936788
Laundries,20 Fettes Row,Edinburgh,UK,"20 Fettes Row , Edinburgh , UK",55.9589836,-3.2015327
Laundries,74 Gilmore Place,Edinburgh,UK,"74 Gilmore Place , Edinburgh , UK",55.9408471,-3.2098178
Laundries,21 Angle Park Terrace,Edinburgh,UK,"21 Angle Park Terrace , Edinburgh , UK",55.9383727,-3.2245905
Laundries,22 Angle Park Terrace,Edinburgh,UK,"22 Angle Park Terrace , Edinburgh , UK",55.938361,-3.2246069
Laundries,17 Churchill Place,Edinburgh,UK,"17 Churchill Place , Edinburgh , UK",55.9316345,-3.1791312002184404
Laundries,93 Pitt Street,Edinburgh,UK,"93 Pitt Street , Edinburgh , UK",55.9733915,-3.1854743
Laundries,1 South Howard Place,Edinburgh,UK,"1 South Howard Place , Edinburgh , UK",55.9639182,-3.2017656
Laundries,217 Causewayside,Edinburgh,UK,"217 Causewayside , Edinburgh , UK",55.9373236,-3.1807187
Laundries,28 Easter Road,Edinburgh,UK,"28 Easter Road , Edinburgh , UK",55.9581968,-3.1716934
Laundries,145 Dalry Road,Edinburgh,UK,"145 Dalry Road , Edinburgh , UK",55.9396186,-3.2257093
Laundries,3 Merchiston Place,Edinburgh,UK,"3 Merchiston Place , Edinburgh , UK",55.935801,-3.2104163
Laundries,11 Shrub Place,Edinburgh,UK,"11 Shrub Place , Edinburgh , UK",55.9622147,-3.1792916
Laundries,12 Lochrin Buildings,Edinburgh,UK,"12 Lochrin Buildings , Edinburgh , UK",55.9419653,-3.2040463
Laundries,52 Clerk Street,Edinburgh,UK,"52 Clerk Street , Edinburgh , UK",55.9420666,-3.181829
Laundries,39A Queen Street,Edinburgh,UK,"39A Queen Street , Edinburgh , UK",55.9541763,-3.2015323
Laundries,3 Henderson Terrace,Edinburgh,UK,"3 Henderson Terrace , Edinburgh , UK",55.9390754,-3.2247737
Laundries,25 Barclay Place,Edinburgh,UK,"25 Barclay Place , Edinburgh , UK",55.9401385,-3.2041473
Laundries,21 Dublin Street,Edinburgh,UK,"21 Dublin Street , Edinburgh , UK",55.9566026,-3.1930907
